# file...... output/Gen_3_Speed.csv
# date...... Tue Feb 28 22:47:23 2023
# user...... ananth
# host...... (null)
# target.... diesel_dg 9
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2001-08-01 13:00:00 PDT,+376.991118431,+0.455273661923,+0.915740550309,-0.428445397164,+0.389495815604+0.97294046083j,+0.400624267478+0.94434050557j,+0+0i,+0+0i,+0+0i,+0.571999105213+0.55642259372j,+450000.081751,+149999.961416,+452796.824242,+1201.08087991,+1201.08087991
2001-08-01 13:00:01 PDT,+376.991118431,+0.455273661923,+0.915740550309,-0.428445397164,+0.389495815604+0.97294046083j,+0.400624267478+0.94434050557j,+0+0i,+0+0i,+0+0i,+0.571999105213+0.55642259372j,+450000.099652,+149999.95192,+452796.824242,+1201.08087991,+1201.08087991
2001-08-01 13:00:02 PDT,+376.991118431,+0.455273661923,+0.915740550309,-0.428445397164,+0.389495815604+0.97294046083j,+0.400624267478+0.94434050557j,+0+0i,+0+0i,+0+0i,+0.571999105213+0.55642259372j,+450000.111472,+149999.945386,+452796.824242,+1201.08087991,+1201.08087991
2001-08-01 13:00:03.000000 PDT,+376.991118432,+0.455273648609,+0.915740539206,-0.428445383716,+0.38949580338+0.972940482599j,+0.400624254904+0.944340510902j,+2457.79497298+132.971814766j,-1113.74051692-2194.99879128j,-1344.05445607+2062.02697651j,+0.57199943771+0.55642256988j,+450000.110851,+149999.951916,+452796.891502,+1201.08105832,+1201.08105096
2001-08-01 13:00:03.002000 PDT,+376.937633719,+0.455273648613,+0.90996578532,-0.42682935216,+0.388726264543+0.972200919668j,+0.399612861005+0.941083352494j,+2449.70851543+131.71491386j,-1110.78579626-2187.36726316j,-1338.92271918+2055.6523493j,+12.1215072016-4.06081043616j,+450000.108726,+149999.975301,+452796.891502,+1201.25148299,+1625.57992331
2001-08-01 13:00:03.004000 PDT,+376.836186356,+0.455062516114,+0.898600825664,-0.423627709766,+0.387191455744+0.970720420038j,+0.397601814036+0.934660622851j,+2433.77260288+128.75859468j,-1105.37808749-2172.08819847j,-1328.39451539+2043.32960379j,+11.9960405966-4.03205520681j,+0,+0,+452796.891502,+1201.57486966,+1593.39150092
2001-08-01 13:00:03.006000 PDT,+376.740048141,+0.454653991597,+0.887419616765,-0.420456596264,+0.385661180983+0.970002261413j,+0.395602728206+0.928710939089j,+2418.89269347+125.80442453j,-1100.49651918-2157.72473384j,-1318.39617429+2031.92030931j,+11.9169889938-4.01191482719j,+0,+0,+452796.891502,+1201.88149292,+1573.39674025
2001-08-01 13:00:03.008000 PDT,+376.648966986,+0.454058300047,+0.876420399577,-0.417315793026,+0.384135505662+0.969281172656j,+0.393615587766+0.922850786117j,+2404.23936345+122.480948047j,-1096.04806924-2143.37283955j,-1308.19129421+2020.8918915j,+11.8392712971-3.99190320844j,+0,+0,+452796.891502,+1202.17213159,+1553.82640672
2001-08-01 13:00:03.010000 PDT,+376.562833838,+0.45328544522,+0.865600031008,-0.414204957346,+0.382614433762+0.968557222041j,+0.391640297643+0.917078626524j,+2389.80628065+118.818525006j,-1092.00327923-2129.04221167j,-1297.80300142+2010.22368666j,+11.7628532154-3.97201638382j,+0,+0,+452796.891502,+1202.44711058,+1534.66798762
2001-08-01 13:00:03.012000 PDT,+376.481542467,+0.452345215628,+0.854955425959,-0.411123751112,+0.381097969155+0.967830477091j,+0.389676764+0.911392951525j,+2375.58720172+114.846235695j,-1088.33384322-2114.74198344j,-1287.2533585+1999.89574775j,+11.6877087886-3.95225269985j,+0,+0,+452796.891502,+1202.70674768,+1515.91073705
