# file...... output/Gen_1_Speed.csv
# date...... Tue Feb 28 22:47:23 2023
# user...... ananth
# host...... (null)
# target.... diesel_dg 1
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2001-08-01 13:00:00 PDT,+376.991118431,+0.1534550539,+1.01421232898,-0.154430407463,+0.140391279511+1.10334184006j,+0.144402458926+1.05877708452j,+0+0i,+0+0i,+0+0i,+0.891295110811+0.200558970731j,+177681.814138,+441029.768498,+180785.312472,+479.547935306,+479.547935306
2001-08-01 13:00:01 PDT,+376.991118431,+0.1534550539,+1.01421232898,-0.154430407463,+0.140391279511+1.10334184006j,+0.144402458926+1.05877708452j,+0+0i,+0+0i,+0+0i,+0.891295110811+0.200558970731j,+177681.835804,+441029.761073,+180785.312472,+479.547935306,+479.547935306
2001-08-01 13:00:02 PDT,+376.991118431,+0.1534550539,+1.01421232898,-0.154430407463,+0.140391279511+1.10334184006j,+0.144402458926+1.05877708452j,+0+0i,+0+0i,+0+0i,+0.891295110811+0.200558970731j,+177681.850179,+441029.756106,+180785.312472,+479.547935306,+479.547935306
2001-08-01 13:00:03.000000 PDT,+376.991118432,+0.15345509579,+1.01421230577,-0.154430454892,+0.14039132263+1.10334185116j,+0.144402503276+1.05877707847j,+2563.60970804+45.907115907j,-1242.04812543-2243.10469051j,-1321.56158261+2197.1975746j,+0.891295459905+0.200559024044j,+177681.852788,+441029.761227,+180785.394178,+479.548152035,+479.54814076
2001-08-01 13:00:03.002000 PDT,+376.893884787,+0.153366142994,+1.01402143278,-0.154572108701,+0.140458988871+1.10331725779j,+0.144491308822+1.05866934529j,+2563.39086559+45.4290002798j,-1242.35276448-2242.67610957j,-1321.03810111+2197.24710929j,+1.13764950128+0.41544221798j,+293806.626594,+483799.311879,+180785.394178,+479.671869125,+849.535151275
2001-08-01 13:00:03.004000 PDT,+376.756817548,+0.15304751141,+1.01367134767,-0.154763058715,+0.140550638613+1.10347974968j,+0.14461133007+1.05857554868j,+2563.22668322+44.2932889899j,-1243.25422813-2241.96606782j,-1319.97245509+2197.67277883j,+1.27597936139+0.501275505345j,+338578.337235,+561166.242369,+180785.394178,+479.84637771,+1005.54014312
2001-08-01 13:00:03.006000 PDT,+376.57729934,+0.152410670765,+1.01325835976,-0.155016073525,+0.14067254168+1.10404767145j,+0.144770693636+1.0586530156j,+2563.49615047+42.3111785566j,-1245.10551974-2241.20837809j,-1318.39063073+2198.89719953j,+1.32592023773+0.590518848582j,+395473.863819,+587520.778629,+180785.394178,+480.075125333,+1148.88844304
2001-08-01 13:00:03.008000 PDT,+376.368950328,+0.151381951328,+1.01285123416,-0.155314723068,+0.140817046738+1.10461357332j,+0.144959239975+1.05873240374j,+2563.79485669+39.2555280326j,-1247.90114383-2239.93924j,-1315.89371286+2200.68371197j,+1.3174488501+0.650012441972j,+438122.379382,+581451.099246,+180785.394178,+480.340883647,+1236.1614229
2001-08-01 13:00:03.010000 PDT,+376.148078195,+0.14992019462,+1.01248112573,-0.155634948149,+0.140972797488+1.10518150963j,+0.145161983391+1.05883131768j,+2564.1568379+35.062272658j,-1251.71360011-2238.15609724j,-1312.44323779+2203.09382458j,+1.28605467379+0.674678375089j,+459427.882388,+561788.960582,+180785.394178,+480.622937237,+1266.97011786
2001-08-01 13:00:03.012000 PDT,+375.926440947,+0.148013470261,+1.01215119713,-0.15595765156,+0.141130728011+1.10575198319j,+0.145366991882+1.05895159016j,+2564.57700925+29.729098288j,-1256.54235028-2235.85338912j,-1308.03465897+2206.12429083j,+1.25639616172+0.674609510878j,+463629.044279,+542388.284948,+180785.394178,+480.906301037,+1261.32137891
