# file...... output/Gen_2_meter.csv
# date...... Tue Feb 28 22:47:23 2023
# user...... ananth
# host...... (null)
# target.... diesel_dg 5
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_out_A.real,power_out_A.imag,power_out_A, power_out_B.real,power_out_B.imag,power_out_B, power_out_C.real,power_out_C.imag, power_out_C, pwr_electric.real,pwr_electric.imag,pwr_electric
2001-08-01 13:00:00 PDT,+353996.482235,+33565.2913879,+353996.482235+33565.2913879i,+257326.177783,+11541.2582431,+257326.177783+11541.2582431j,+267183.308388,-5205.91773771,+267183.308388-5205.91773771j,+878505.968406,+39900.6318933,+878505.968406+39900.6318933i
2001-08-01 13:00:01 PDT,+353996.459658,+33565.567872,+353996.459658+33565.567872i,+257326.023309,+11541.1437536,+257326.023309+11541.1437536j,+267183.496348,-5206.09091867,+267183.496348-5206.09091867j,+878505.979315,+39900.6207069,+878505.979315+39900.6207069i
2001-08-01 13:00:02 PDT,+353996.439858,+33565.7637235,+353996.439858+33565.7637235i,+257325.916093,+11541.0576396,+257325.916093+11541.0576396j,+267183.630623,-5206.20847299,+267183.630623-5206.20847299j,+878505.986573,+39900.6128901,+878505.986573+39900.6128901i
2001-08-01 13:00:03.000000 PDT,+353996.41418,+33565.903737,+353996.41418+33565.903737i,+257325.842331,+11540.994334,+257325.842331+11540.994334j,+267183.725719,-5206.277572,+267183.725719-5206.277572j,+878505.98223,+39900.620499,+878505.98223+39900.620499i
2001-08-01 13:00:03.002000 PDT,+395718.114834,+50471.2115552,+395718.114834+50471.2115552i,+289442.499055,+17686.2352714,+289442.499055+17686.2352714j,+290229.697867,+3467.3180962,+290229.697867+3467.3180962j,+975390.311756,+71624.7649228,+975390.311756+71624.7649228i
2001-08-01 13:00:03.004000 PDT,+404149.617963,+84874.2731516,+404149.617963+84874.2731516i,+299702.313712,+36943.6761547,+299702.313712+36943.6761547j,+299759.923117,+19660.5624539,+299759.923117+19660.5624539j,+1003611.85479,+141478.51176,+1003611.85479+141478.51176i
2001-08-01 13:00:03.006000 PDT,+419441.332553,+98398.5570407,+419441.332553+98398.5570407i,+310632.16873,+40284.7949809,+310632.16873+40284.7949809j,+313173.332981,+22508.9974129,+313173.332981+22508.9974129j,+1043246.83426,+161192.349434,+1043246.83426+161192.349434i
2001-08-01 13:00:03.008000 PDT,+431322.29118,+99274.6761407,+431322.29118+99274.6761407i,+316196.131391,+35855.5910703,+316196.131391+35855.5910703j,+324231.071606,+15917.1889482,+324231.071606+15917.1889482j,+1071749.49418,+151047.456159,+1071749.49418+151047.456159i
2001-08-01 13:00:03.010000 PDT,+436889.466288,+95486.8735255,+436889.466288+95486.8735255i,+315663.7953,+29749.2141014,+315663.7953+29749.2141014j,+329610.16112,+5255.24837211,+329610.16112+5255.24837211j,+1082163.42271,+130491.335999,+1082163.42271+130491.335999i
2001-08-01 13:00:03.012000 PDT,+437497.108933,+91642.2278153,+437497.108933+91642.2278153i,+310755.389308,+25438.1206898,+310755.389308+25438.1206898j,+329384.989351,-4989.88974067,+329384.989351-4989.88974067j,+1077637.48759,+112090.458764,+1077637.48759+112090.458764i
